IMPLEMENTATION,NUM_THREADS,TIME(s)
vector,1,0.378746
vector,1,0.335537
vector,1,0.343043
vector,1,0.331722
vector,1,0.377064
vector,1,0.327886
vector,1,0.329556
vector,1,0.37651
vector,1,0.377462
vector,1,0.327698
vector,1,0.37782
vector,2,0.190819
vector,2,0.171758
vector,2,0.192289
vector,2,0.171342
vector,2,0.171972
vector,2,0.187835
vector,2,0.189134
vector,2,0.175956
vector,2,0.195553
vector,2,0.202824
vector,2,0.174383
vector,2,0.203341
vector,2,0.188547
vector,2,0.193175
vector,2,0.171389
vector,4,0.104373
vector,4,0.104604
vector,4,0.105374
vector,4,0.109802
vector,4,0.106901
vector,4,0.106069
vector,4,0.109347
vector,4,0.106864
vector,4,0.105995
vector,4,0.10686
vector,4,0.103789
vector,4,0.104549
vector,4,0.0983915
vector,4,0.10307
vector,4,0.106973
vector,6,0.0736673
vector,6,0.0740703
vector,6,0.0767709
vector,6,0.0767897
vector,6,0.0934372
vector,6,0.0748118
vector,6,0.0785544
vector,6,0.0747569
vector,6,0.074406
vector,6,0.0747765
vector,6,0.0752872
vector,6,0.0745199
vector,6,0.078392
vector,6,0.0770853
vector,6,0.0783227
vector,8,0.0952164
vector,8,0.092318
vector,8,0.0918381
vector,8,0.0923911
vector,8,0.0881095
vector,8,0.0924548
vector,8,0.0919475
vector,8,0.0868535
vector,8,0.0956126
vector,8,0.0928769
vector,8,0.0955672
vector,8,0.0993027
vector,8,0.0858579
vector,8,0.0932884
vector,8,0.0859878
vector,12,0.110382
vector,12,0.0809464
vector,12,0.077302
vector,12,0.0758752
vector,12,0.0753306
vector,12,0.075372
vector,12,0.0751472
vector,12,0.0752485
vector,12,0.074653
vector,12,0.0772366
vector,12,0.0761932
vector,12,0.0750426
vector,12,0.0755355
vector,12,0.0744948
vector,12,0.074542
vector,16,0.475773
vector,16,0.472216
vector,16,0.475478
vector,16,0.475814
vector,16,0.471204
vector,16,0.474194
vector,16,0.480568
vector,16,0.478719
vector,16,0.480232
vector,16,0.480798
vector,16,0.480082
vector,16,0.474976
vector,16,0.47975
vector,16,0.483729
vector,16,0.480889
CUDA,1,0.366166
CUDA,1,0.307169
CUDA,1,0.300732
CUDA,1,0.288564
CUDA,1,0.298185
CUDA,1,0.295471
CUDA,1,0.299484
CUDA,1,0.296216
CUDA,1,0.2907
CUDA,1,0.295468
CUDA,1,0.292446
CUDA,1,0.292872
CUDA,1,0.292692
CUDA,1,0.296295
CUDA,1,0.2906
