IMPLEMENTATION,NUM_THREADS,TIME(s)
vector,4,0.882502,big_scenario.xml
vector,4,0.827608,big_scenario.xml
CUDA,1,0.218093,lab3-scenario.xml
CUDA,1,0.217448,lab3-scenario.xml
CUDA,1,0.201919,lab3-scenario.xml
CUDA,1,0.184875,lab3-scenario.xml
CUDA,1,0.184463,lab3-scenario.xml
CUDA,1,0.168714,worst_scenario.xml
CUDA,1,0.168476,worst_scenario.xml
CUDA,1,0.172483,worst_scenario.xml
CUDA,1,0.188648,worst_scenario.xml
CUDA,1,0.195722,worst_scenario.xml
CUDA,1,2.27345,big_scenario.xml
CUDA,1,2.25589,big_scenario.xml
CUDA,1,2.21353,big_scenario.xml
CUDA,1,2.1899,big_scenario.xml
CUDA,1,2.18359,big_scenario.xml
col_prevent_seq,1,0.101489,lab3-scenario.xml
col_prevent_seq,1,0.100507,lab3-scenario.xml
col_prevent_seq,1,0.0953821,lab3-scenario.xml
col_prevent_seq,1,0.102585,lab3-scenario.xml
col_prevent_seq,1,0.0945126,lab3-scenario.xml
col_prevent_seq,1,0.0604059,worst_scenario.xml
col_prevent_seq,1,0.0599311,worst_scenario.xml
col_prevent_seq,1,0.0589466,worst_scenario.xml
col_prevent_seq,1,0.0615084,worst_scenario.xml
col_prevent_seq,1,0.0609295,worst_scenario.xml
col_prevent_seq,1,39.4901,big_scenario.xml
col_prevent_seq,1,39.249,big_scenario.xml
col_prevent_seq,1,36.2329,big_scenario.xml
col_prevent_seq,1,38.6744,big_scenario.xml
col_prevent_seq,1,38.4479,big_scenario.xml
col_prevent_par,1,0.165085,lab3-scenario.xml
col_prevent_par,1,0.201514,lab3-scenario.xml
col_prevent_par,1,0.163951,lab3-scenario.xml
col_prevent_par,1,0.162234,lab3-scenario.xml
col_prevent_par,1,0.155282,lab3-scenario.xml
col_prevent_par,1,0.0987275,worst_scenario.xml
col_prevent_par,1,0.0949372,worst_scenario.xml
col_prevent_par,1,0.0918899,worst_scenario.xml
col_prevent_par,1,0.0942432,worst_scenario.xml
col_prevent_par,1,0.092974,worst_scenario.xml
col_prevent_par,1,63.2359,big_scenario.xml
col_prevent_par,1,59.4923,big_scenario.xml
col_prevent_par,1,63.8275,big_scenario.xml
col_prevent_par,1,62.8298,big_scenario.xml
col_prevent_par,1,63.4199,big_scenario.xml
col_prevent_par,2,0.145162,lab3-scenario.xml
col_prevent_par,2,0.145681,lab3-scenario.xml
col_prevent_par,2,0.12798,lab3-scenario.xml
col_prevent_par,2,0.131796,lab3-scenario.xml
col_prevent_par,2,0.132762,lab3-scenario.xml
